contract_version,dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,delta_definition,training_seed_treatment,n_subjects,n_measurements_per_seed,n_training_seeds,training_seeds,reference_seed_mode,seed_17_delta_mae,seed_23_delta_mae,seed_42_delta_mae,seed_delta_mae_sample_sd,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
source-faithful-v3,PPG-BP,dbp,papagei_s,PaPaGei-S,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,matched_training_seed,-0.10493896499239024,-0.21073349010654416,-0.10500897716894945,0.06106029681351301,-0.14022714408929463,-0.2667139773972598,-0.014136121220192692,0.9857,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1232036387
source-faithful-v3,PPG-BP,dbp,pulseppg,Pulse-PPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,matched_training_seed,0.061615512937595,0.02506104718417043,-0.043594319634702484,0.05341488124334384,0.014360746829020981,-0.0031651064180615576,0.031947734335362875,0.0602,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,67600188
source-faithful-v3,PPG-BP,sbp,anyppg,AnyPPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,matched_training_seed,-0.8047000898021309,-1.1522377899543372,-0.9765970091324212,0.1737722109496901,-0.9778449629629631,-1.4482702139649928,-0.5089899593353631,1.0,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3724281608
source-faithful-v3,PPG-BP,sbp,papagei_p,PaPaGei-P,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,matched_training_seed,-0.9892855433789943,-1.312377716894977,-1.3397579680365288,0.19492269885999575,-1.2138070761035,-1.6382145781075599,-0.7755852804160316,1.0,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1019236911
source-faithful-v3,PPG-BP,sbp,papagei_s,PaPaGei-S,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,matched_training_seed,-0.8155421111111106,-0.8256350761035025,-0.6871159756468787,0.07722551543361728,-0.7760977209538306,-1.1084806475520042,-0.452829440753426,1.0,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3127007865
source-faithful-v3,PPG-BP,sbp,pulseppg,Pulse-PPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,matched_training_seed,-0.008045905631658119,-0.006545654490108164,0.00014423287671103924,0.0043604991162083055,-0.004815775748351748,-0.011509999670218846,0.001704225253678926,0.9229,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,225609320
source-faithful-v3,PulseDB-MIMIC,dbp,anyppg,AnyPPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.34853316503373416,-0.26338957607668334,-0.18436019638746323,0.08210545782577389,-0.26542764583262696,-0.42524314740315,-0.10473503179092437,0.9999,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1353142066
source-faithful-v3,PulseDB-MIMIC,dbp,papagei_p,PaPaGei-P,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.3409244559963828,-0.319889239442448,-0.3071428270905192,0.01705945395203598,-0.32265217417645004,-0.5320342714147434,-0.10807768981811984,0.9977,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1292570675
source-faithful-v3,PulseDB-MIMIC,dbp,papagei_s,PaPaGei-S,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.39038865103450227,-0.43061684205958717,-0.4175491656128824,0.020521391574926898,-0.4128515529023239,-0.6469377594548577,-0.17949603702728073,0.9996,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,2232105563
source-faithful-v3,PulseDB-MIMIC,dbp,pulseppg,Pulse-PPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,0.008179034894371244,-0.014482234881347828,-0.022555017698934313,0.01593363820703394,-0.009619405895303638,-0.155216409450096,0.14090795557911098,0.547,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3845151438
