dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,n_subjects,n_measurements,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
PulseDB-MIMIC,dbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex,300,3000,-0.2518528684260406,-0.4923161850440725,-0.0104876614270066,0.9792,participant_paired_percentile_fixed_oof,10000,0.95,2884081089
PulseDB-MIMIC,dbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,-0.33239550309438426,-0.5090080861365156,-0.1528569734138798,0.9996,participant_paired_percentile_fixed_oof,10000,0.95,2695535776
PulseDB-MIMIC,dbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,-0.3039006942410298,-0.48233126752853683,-0.1292712778351844,0.9991,participant_paired_percentile_fixed_oof,10000,0.95,2733207165
PulseDB-MIMIC,dbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,-0.3182091933341644,-0.4886354950578011,-0.14994062718872517,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2568569060
PulseDB-MIMIC,sbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,-0.022080570875118256,-0.061858905837272896,0.018408801366058207,0.8609,participant_paired_percentile_fixed_oof,10000,0.95,3847808021
PulseDB-MIMIC,sbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex,300,3000,-0.06279016142816632,-0.1796737480315013,0.05205794718379848,0.8599,participant_paired_percentile_fixed_oof,10000,0.95,3261363537
PulseDB-MIMIC,sbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,0.015095060890122828,-0.008219219218432003,0.03868885463073789,0.1,participant_paired_percentile_fixed_oof,10000,0.95,3393937522
PulseDB-MIMIC,sbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,0.017154489264316317,-0.013030007063805235,0.04801696762234754,0.136,participant_paired_percentile_fixed_oof,10000,0.95,3578824420
PulseDB-MIMIC,sbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex,300,3000,0.008394579493791566,-0.019454631767963592,0.03599119063457951,0.2791,participant_paired_percentile_fixed_oof,10000,0.95,1931484541
PulseDB-Vital,dbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,300,3000,-0.1799224275235206,-0.2931718400973252,-0.0697259301395523,0.9995,participant_paired_percentile_fixed_oof,10000,0.95,1546030939
PulseDB-Vital,dbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex/BMI,300,3000,-0.25336515756613887,-0.4357224747095223,-0.08005474769435522,0.9971,participant_paired_percentile_fixed_oof,10000,0.95,865408773
PulseDB-Vital,dbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,300,3000,-0.178525480022443,-0.33959693027258697,-0.017923223222366814,0.987,participant_paired_percentile_fixed_oof,10000,0.95,2684912897
PulseDB-Vital,dbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,300,3000,-0.18101903689264204,-0.29798024111232224,-0.06763086859914545,0.9993,participant_paired_percentile_fixed_oof,10000,0.95,4258693086
PulseDB-Vital,dbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,300,3000,-0.19668149041064895,-0.32194297657012244,-0.07473861502945243,0.9995,participant_paired_percentile_fixed_oof,10000,0.95,2940914210
PulseDB-Vital,sbp,anyppg,AnyPPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,300,3000,-0.12102526062955007,-0.2327206417377118,-0.012215443100030587,0.9861,participant_paired_percentile_fixed_oof,10000,0.95,2146043763
PulseDB-Vital,sbp,handcrafted_ppg,PPG features,add_demographics_to_waveform,ppg_features_demographics,ppg_features,age/sex/BMI,300,3000,-0.0649319477384697,-0.2119476236303577,0.08297257376454771,0.806,participant_paired_percentile_fixed_oof,10000,0.95,1945113745
PulseDB-Vital,sbp,papagei_p,PaPaGei-P,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,300,3000,-0.08145100277409836,-0.21009415440988422,0.04873978517255024,0.8878,participant_paired_percentile_fixed_oof,10000,0.95,1310330132
PulseDB-Vital,sbp,papagei_s,PaPaGei-S,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,300,3000,-0.13686373037505023,-0.28877275865249724,0.015536668228168194,0.9628,participant_paired_percentile_fixed_oof,10000,0.95,183215548
PulseDB-Vital,sbp,pulseppg,Pulse-PPG,add_demographics_to_waveform,frozen_demographics,frozen,age/sex/BMI,300,3000,-0.10051301837020525,-0.22515380307769212,0.026476801256793293,0.9404,participant_paired_percentile_fixed_oof,10000,0.95,610304764
BUT PPG,dbp,anyppg,AnyPPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,38,66,0.8594035497251336,-0.09726256143013867,1.760379834784691,0.0389,participant_paired_percentile_fixed_oof,10000,0.95,1523715134
BUT PPG,dbp,handcrafted_ppg,PPG features,waveform_only_vs_demographics_only,ppg_features,demographics,age/sex/BMI,38,66,0.17947302524253897,-0.41444932564843345,0.8037958371405821,0.2791,participant_paired_percentile_fixed_oof,10000,0.95,782311223
BUT PPG,dbp,papagei_p,PaPaGei-P,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,38,66,0.6646334354392497,0.10786767351862327,1.2639489480479036,0.009,participant_paired_percentile_fixed_oof,10000,0.95,272677729
BUT PPG,dbp,papagei_s,PaPaGei-S,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,38,66,0.11319953719376635,-0.46273365299613384,0.6876273536397453,0.3541,participant_paired_percentile_fixed_oof,10000,0.95,2536840451
BUT PPG,dbp,pulseppg,Pulse-PPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,38,66,0.656059597251462,-0.13009708527974775,1.4381774938147547,0.0489,participant_paired_percentile_fixed_oof,10000,0.95,2161198466
BUT PPG,sbp,anyppg,AnyPPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,38,66,5.604673003847942,3.34274092176177,7.787013634351603,0.0,participant_paired_percentile_fixed_oof,10000,0.95,4057409092
