dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,n_subjects,n_measurements,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
PPG-BP,sbp,handcrafted_ppg,PPG features,waveform_plus_demographics_vs_demographics_only,ppg_features_demographics,demographics,age/sex/BMI,219,219,-1.3284025563088746,-2.1558468680354177,-0.5154172428935305,0.9994,participant_paired_percentile_fixed_oof,10000,0.95,2243359090
PPG-BP,sbp,papagei_p,PaPaGei-P,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,219,219,-0.03236340056538378,-0.5694124714502609,0.5042421098718723,0.5506,participant_paired_percentile_fixed_oof,10000,0.95,1569932195
PPG-BP,sbp,papagei_s,PaPaGei-S,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,219,219,0.24123627575002052,-0.13775167091407095,0.6169412907582422,0.1057,participant_paired_percentile_fixed_oof,10000,0.95,843582123
PPG-BP,sbp,pulseppg,Pulse-PPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,219,219,-0.6996973447848601,-1.3827157913653554,-0.02793946889317626,0.9799,participant_paired_percentile_fixed_oof,10000,0.95,2080308887
PulseDB-MIMIC,dbp,anyppg,AnyPPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex,300,3000,-0.677504210000775,-1.1308483777871838,-0.22215721742999478,0.9982,participant_paired_percentile_fixed_oof,10000,0.95,3130017053
PulseDB-MIMIC,dbp,handcrafted_ppg,PPG features,waveform_plus_demographics_vs_demographics_only,ppg_features_demographics,demographics,age/sex,300,3000,-0.3195523476205018,-0.6604968778469166,0.005643818086397315,0.973,participant_paired_percentile_fixed_oof,10000,0.95,613387725
PulseDB-MIMIC,dbp,papagei_p,PaPaGei-P,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex,300,3000,-0.038276398535698725,-0.38314358888343286,0.2987224001767814,0.5987,participant_paired_percentile_fixed_oof,10000,0.95,134713341
PulseDB-MIMIC,dbp,papagei_s,PaPaGei-S,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex,300,3000,-0.09481733334522946,-0.3480602557062763,0.15499422783648584,0.7728,participant_paired_percentile_fixed_oof,10000,0.95,928372804
PulseDB-MIMIC,dbp,pulseppg,Pulse-PPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex,300,3000,-0.2876113387490417,-0.6535822416672376,0.06586396028075477,0.9446,participant_paired_percentile_fixed_oof,10000,0.95,3076285792
PulseDB-MIMIC,sbp,anyppg,AnyPPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex,300,3000,-1.9312036682265656,-2.757800141347263,-1.113601444071371,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2010018397
PulseDB-MIMIC,sbp,handcrafted_ppg,PPG features,waveform_plus_demographics_vs_demographics_only,ppg_features_demographics,demographics,age/sex,300,3000,-1.3780248701918167,-2.088054140687674,-0.6711949865671561,0.9998,participant_paired_percentile_fixed_oof,10000,0.95,1824452101
PulseDB-MIMIC,sbp,papagei_p,PaPaGei-P,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex,300,3000,-0.4270192884980483,-1.0059746661561477,0.15451106486743746,0.9274,participant_paired_percentile_fixed_oof,10000,0.95,1162030715
PulseDB-MIMIC,sbp,papagei_s,PaPaGei-S,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex,300,3000,-0.6410647248766771,-1.0947588352697724,-0.18545446787593414,0.9974,participant_paired_percentile_fixed_oof,10000,0.95,676458156
PulseDB-MIMIC,sbp,pulseppg,Pulse-PPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex,300,3000,-1.1392679569524833,-1.7571970833634634,-0.5183892854466751,0.9999,participant_paired_percentile_fixed_oof,10000,0.95,4141209836
PulseDB-Vital,dbp,anyppg,AnyPPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,300,3000,-1.6430379317575963,-2.0494111592960333,-1.2315187958032299,1.0,participant_paired_percentile_fixed_oof,10000,0.95,1133467651
PulseDB-Vital,dbp,handcrafted_ppg,PPG features,waveform_plus_demographics_vs_demographics_only,ppg_features_demographics,demographics,age/sex/BMI,300,3000,-1.4016460628857004,-1.7897143429320947,-1.0203075304286888,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2516560575
PulseDB-Vital,dbp,papagei_p,PaPaGei-P,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,300,3000,-0.6546069943829835,-0.9942407495505138,-0.3047241370777117,0.9999,participant_paired_percentile_fixed_oof,10000,0.95,4222277657
PulseDB-Vital,dbp,papagei_s,PaPaGei-S,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,300,3000,-0.608592890522641,-0.9500936685194188,-0.27139074701060395,0.9998,participant_paired_percentile_fixed_oof,10000,0.95,4060529233
PulseDB-Vital,dbp,pulseppg,Pulse-PPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,300,3000,-1.0437363559816408,-1.416690538107527,-0.6593017902292782,1.0,participant_paired_percentile_fixed_oof,10000,0.95,3205682779
PulseDB-Vital,sbp,anyppg,AnyPPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,300,3000,-3.2444771252300866,-3.915535800455317,-2.5516234230209687,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2358577979
PulseDB-Vital,sbp,handcrafted_ppg,PPG features,waveform_plus_demographics_vs_demographics_only,ppg_features_demographics,demographics,age/sex/BMI,300,3000,-2.41112814082969,-3.046567608363776,-1.7712428894138799,1.0,participant_paired_percentile_fixed_oof,10000,0.95,701788767
PulseDB-Vital,sbp,papagei_p,PaPaGei-P,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,300,3000,-1.8344735371633407,-2.4103843456312166,-1.2514551989971152,1.0,participant_paired_percentile_fixed_oof,10000,0.95,3805321917
PulseDB-Vital,sbp,papagei_s,PaPaGei-S,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,300,3000,-1.1017409471373085,-1.596385339844503,-0.6146095394792593,1.0,participant_paired_percentile_fixed_oof,10000,0.95,1495695704
PulseDB-Vital,sbp,pulseppg,Pulse-PPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,300,3000,-2.579030181406264,-3.2092232738308875,-1.9414931943352491,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2952410846
